epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc
1,0.7055584192276001,0.675828218460083,0.7364280094413848,0.13026819923371646,0.3945841392649903,0.1958713394143063,0.6322417059444458
2,0.6824161410331726,0.6643746495246887,0.7279307631785995,0.13048780487804879,0.41392649903288203,0.19842373667130273,0.6550667175571507
3,0.6704713702201843,0.6573053002357483,0.7022816679779701,0.12574850299401197,0.44680851063829785,0.19626168224299065,0.6597538769205691
4,0.6652738451957703,0.6516292095184326,0.6824547600314713,0.12864918357248886,0.5029013539651838,0.2048857368006304,0.6641503045146088
5,0.6576723456382751,0.6457659006118774,0.665302911093627,0.13005514705882354,0.5473887814313346,0.21017452655031563,0.671947879662559
6,0.6522000432014465,0.6394403576850891,0.649567269866247,0.1314655172413793,0.5899419729206963,0.2150158618258724,0.6824360903650664
7,0.6447937488555908,0.6329168677330017,0.6498819826907947,0.13597612958226768,0.6170212765957447,0.22284317149842822,0.6942550408416014
8,0.6431137919425964,0.6274394392967224,0.6553894571203777,0.13897280966767372,0.6228239845261122,0.2272406492589979,0.702401328453678
9,0.6391586661338806,0.6238492727279663,0.6558615263571991,0.1410146173688736,0.6344294003868471,0.23074217376011255,0.7068232675534069
10,0.6347476243972778,0.62154221534729,0.651140833988985,0.13952502120441052,0.6363636363636364,0.2288695652173913,0.7090492292543418
11,0.6332883834838867,0.6207303404808044,0.6418568056648308,0.13761845900288422,0.6460348162475822,0.2269021739130435,0.7098766965979579
12,0.6296486854553223,0.620929479598999,0.6264358772619985,0.13314895298301066,0.6518375241779497,0.2211286089238845,0.7108686634555302
13,0.6284242272377014,0.621069073677063,0.6092840283241542,0.1332089552238806,0.690522243713733,0.22333437597747888,0.7131186457300035
14,0.6279287338256836,0.6209238767623901,0.5982690794649882,0.13249097472924187,0.7098646034816247,0.22330392455126255,0.7155475398625559
15,0.6281646490097046,0.6210566759109497,0.5812745869394178,0.12880886426592797,0.7195357833655706,0.2185022026431718,0.7170141201214215
16,0.624333918094635,0.6208927631378174,0.5820613690007868,0.12825860271115747,0.7137330754352031,0.21744254566882734,0.7167918055718453
17,0.6252471804618835,0.6202442049980164,0.5885129819040126,0.129590395480226,0.7098646034816247,0.21916990146312332,0.7168237777835207
18,0.6228063106536865,0.6197395920753479,0.58426435877262,0.12836656173487232,0.7098646034816247,0.21741706161137442,0.7167298490580291
19,0.6231759190559387,0.6193224787712097,0.5793863099921321,0.1280193236714976,0.7176015473887815,0.21727672035139092,0.7158876380520343
20,0.6226578950881958,0.6188523173332214,0.570889063729347,0.12719298245614036,0.7292069632495164,0.21660442401608734,0.715308328081939
21,0.6207906007766724,0.6183733344078064,0.569315499606609,0.12701612903225806,0.7311411992263056,0.21643286573146292,0.7152425614081821
22,0.6204084157943726,0.6178460717201233,0.569315499606609,0.12801608579088472,0.7388781431334622,0.21822336475292772,0.7159042039648192
23,0.6184166073799133,0.6168844699859619,0.5809598741148702,0.13,0.7292069632495164,0.22066139888791336,0.7166115684407435
24,0.6184424161911011,0.6155895590782166,0.6011014948859166,0.13335755813953487,0.7098646034816247,0.2245334964821046,0.7176111556181968
