epoch,train_loss,validation_loss
1,0.7027400135993958,0.6818578243255615
2,0.686744213104248,0.6737962365150452
3,0.6783161759376526,0.6680949330329895
4,0.6720979809761047,0.6637169122695923
5,0.6659889817237854,0.6604279279708862
6,0.663589358329773,0.6571907997131348
7,0.661095380783081,0.653135359287262
8,0.65997713804245,0.648522675037384
9,0.654517412185669,0.6435100436210632
10,0.6507648825645447,0.6387524008750916
11,0.6489425897598267,0.6347520351409912
12,0.6474453806877136,0.6315678954124451
13,0.6413866877555847,0.62888503074646
14,0.6416487097740173,0.6264426112174988
15,0.6387472748756409,0.6243212819099426
16,0.6354115605354309,0.6228758096694946
17,0.6354939937591553,0.6222090721130371
18,0.6330752968788147,0.622033953666687
19,0.6301226019859314,0.6216117739677429
20,0.6298304796218872,0.6209432482719421
21,0.6263896822929382,0.6201547980308533
22,0.6293341517448425,0.6195491552352905
23,0.6266807317733765,0.6189069151878357
24,0.6253282427787781,0.6182525753974915
25,0.623022198677063,0.6175858974456787
26,0.6213027238845825,0.6171159148216248
27,0.6210501790046692,0.6169318556785583
28,0.6202582120895386,0.6169017553329468
29,0.6199211478233337,0.6167245507240295
30,0.6210452914237976,0.6161454319953918
31,0.6200498342514038,0.6152399778366089
32,0.6179191470146179,0.6143012642860413
33,0.6150674223899841,0.6135016083717346
34,0.6178005933761597,0.6129242181777954
35,0.6183995008468628,0.6125385165214539
36,0.613357663154602,0.6123270392417908
37,0.6155909895896912,0.6123607754707336
38,0.616701066493988,0.6121616959571838
39,0.616499662399292,0.6116817593574524
40,0.6154589056968689,0.6111359000205994
41,0.6142427325248718,0.610393762588501
42,0.6153267025947571,0.609815776348114
43,0.614314615726471,0.6092861890792847
44,0.6134946942329407,0.6087697148323059
45,0.6113410592079163,0.6081811785697937
46,0.6100471615791321,0.6076147556304932
47,0.6130946278572083,0.607100248336792
48,0.6101421117782593,0.6064852476119995
49,0.6109972596168518,0.6059606075286865
50,0.6093764901161194,0.6056331992149353
51,0.6084969639778137,0.605369508266449
52,0.6106008887290955,0.6054914593696594
53,0.6080172061920166,0.6055787205696106
54,0.6085002422332764,0.6054728031158447
55,0.6070390939712524,0.6052611470222473
56,0.6068599820137024,0.6051830053329468
57,0.608483612537384,0.6051554679870605
58,0.6060690879821777,0.6052247881889343
59,0.6057162284851074,0.6052144765853882
60,0.6051419973373413,0.6051837205886841
61,0.605506420135498,0.6050845980644226
62,0.607889711856842,0.6050215363502502
63,0.6020832657814026,0.6046397686004639
64,0.6025437712669373,0.603971004486084
65,0.6058074831962585,0.6033881306648254
66,0.6039177179336548,0.6028316020965576
67,0.6056750416755676,0.6025377511978149
68,0.6032048463821411,0.6023720502853394
69,0.6055465936660767,0.6023941040039062
70,0.6021879315376282,0.6025533676147461
71,0.6005844473838806,0.6025797128677368
72,0.6027823686599731,0.6025311946868896
73,0.6034541726112366,0.6024273037910461
74,0.6012374758720398,0.6025364995002747
75,0.599716067314148,0.6026512980461121
76,0.6002411246299744,0.602369487285614
77,0.6022744178771973,0.6020539999008179
78,0.6010671257972717,0.602134644985199
79,0.5991307497024536,0.6022172570228577
80,0.5994347929954529,0.6023250818252563
81,0.5981035828590393,0.6021434664726257
82,0.599791407585144,0.6018100380897522
83,0.5997968316078186,0.6020616888999939
84,0.5990613102912903,0.602273166179657
85,0.5980241298675537,0.6028916239738464
86,0.5983703136444092,0.6022612452507019
87,0.597490131855011,0.6019601821899414
88,0.5966358184814453,0.6017023921012878
89,0.5978142619132996,0.601467490196228
90,0.59610515832901,0.6014324426651001
91,0.5968313813209534,0.601313591003418
92,0.5972711443901062,0.6017135977745056
93,0.5973777174949646,0.6020181179046631
94,0.5984647274017334,0.6019956469535828
95,0.5966963171958923,0.6017329096794128
96,0.5959139466285706,0.6013467907905579
97,0.5954309701919556,0.6008514761924744
98,0.5960584282875061,0.6005119681358337
99,0.5974453091621399,0.599784255027771
100,0.59532231092453,0.5995791554450989
